,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2021-03-30,1819.46630859375,1860.9747314453125,1793.92236328125,1846.03369140625,22512781703,57750.1328125,59447.22265625,57251.55078125,58917.69140625,54414116432,0.054051999002695084,0.05543399974703789,0.053697001188993454,0.05389999970793724,728906171
2021-03-31,1846.0982666015625,1947.8377685546875,1793.002197265625,1918.362060546875,30226902621,58930.27734375,59930.02734375,57726.41796875,58918.83203125,65520826225,0.053902000188827515,0.05446799844503403,0.05226900056004524,0.05365699902176857,653389282
2021-04-01,1919.1572265625,1989.0550537109375,1912.178466796875,1977.27685546875,30914259795,58926.5625,59586.0703125,58505.27734375,59095.80859375,61669163792,0.053654998540878296,0.0701109990477562,0.053644001483917236,0.06198599934577942,5816046822
2021-04-02,1976.9327392578125,2152.451904296875,1960.6787109375,2143.2255859375,34862511022,59098.87890625,60267.1875,58869.28125,59384.3125,58727860620,0.06196799874305725,0.06224900111556053,0.057333000004291534,0.05766399949789047,2166925111
2021-04-03,2142.89599609375,2144.96240234375,2028.4224853515625,2028.4224853515625,32011518871,59397.41015625,60110.26953125,57603.890625,57603.890625,59641344484,0.05765800178050995,0.059484001249074936,0.05580399930477142,0.05580399930477142,1136931403
2021-04-04,2027.6712646484375,2110.353515625,2007.11181640625,2093.122802734375,26006501902,57604.83984375,58913.74609375,57168.67578125,58758.5546875,50749662970,0.055776000022888184,0.05810699984431267,0.05529500171542168,0.05740400031208992,938035097
2021-04-05,2093.2607421875,2140.9853515625,2032.3876953125,2107.88720703125,28889391170,58760.875,59891.296875,57694.82421875,59057.87890625,60706272115,0.05741100013256073,0.06015300005674362,0.0564350001513958,0.059696000069379807,1513832721
2021-04-06,2109.4931640625,2151.223388671875,2057.609130859375,2118.37890625,29222865881,59171.93359375,59479.578125,57646.80859375,58192.359375,66058027988,0.059689000248909,0.06504999846220016,0.058093998581171036,0.06445799767971039,2608613912
2021-04-07,2117.728515625,2133.1875,1945.442138671875,1971.0772705078125,36116271935,58186.5078125,58731.14453125,55604.0234375,56048.9375,75645303584,0.06445399671792984,0.0672990009188652,0.05764099955558777,0.05902799963951111,2857060849
2021-04-08,1969.1331787109375,2091.516357421875,1959.0794677734375,2088.57373046875,25312956529,56099.9140625,58338.73828125,55879.0859375,58323.953125,53053855641,0.059036001563072205,0.06174499914050102,0.058816999197006226,0.06146400049328804,1055257541
